towerID,towerHeight,lat,long
1B,262,40.57594,-111.785075
2B,236,40.574399,-111.780476
1,131,40.572528,-111.770997
2,164,40.57237,-111.762491
3,197,40.572135,-111.754158
4,164,40.571797,-111.743386
5,164,40.571558,-111.734131
6,197,40.571416,-111.727806
7,197,40.571118,-111.717504
8,186,40.570941,-111.709947
9,131,40.571643,-111.701563
10,197,40.573599,-111.692358
11,197,40.57491,-111.686454
12,230,40.576617,-111.678537
13,230,40.578579,-111.66953
14,197,40.580534,-111.660676
15,164,40.581418,-111.656406
16,131,40.583406,-111.649862
17,131,40.585158,-111.645876
18,180,40.585647,-111.644696
19,230,40.587264,-111.640629
20,131,40.589401,-111.635585
